step	time	pos[0]	pos[1]	pos[2]	quat[0]	quat[1]	quat[2]	quat[3]	transVel[0]	transVel[1]	transVel[2]	angVel[0]	angVel[1]	angVel[2]
0	0.0000000000000000e+00	6.4999997615814209e-01	5.0000000000000000e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00
1	9.9999999999999995e-07	6.4999997615806282e-01	4.9999999995456129e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.0340201307054374e-10	-7.9241209042949419e-08	-4.5438711467522254e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.0680402614108750e-04
2	2.9899999974752427e-06	6.4999997615790517e-01	4.9999999986050547e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3240273125213117e-09	-7.9245050400570194e-08	-4.7264235125446809e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.2525155723695274e-04
3	5.9699999844928973e-06	6.4999997616217764e-01	4.9999999971131082e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.9852267621716668e-09	1.4337107901835869e-06	-5.0065314252616621e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.1148989594968824e-03
4	9.9400000747398017e-06	6.4999997616787941e-01	4.9999999949167678e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8739977811905468e-09	1.4362075846300003e-06	-5.5323433255178247e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4553002614704684e-03
5	1.4900000381902792e-05	6.4999997617501626e-01	4.9999999918334781e-01	5.0000000000000000e-01	1.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0579280455669705e-08	1.4388878109476157e-06	-6.2163104279865268e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.8972914009996607e-03
6	2.0850000678608196e-05	6.4999997618359584e-01	4.9999999876405909e-01	5.0000000000000000e-01	9.9999999999999989e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.7816377727561772e-08	1.4419429100218989e-06	-7.0468695697530078e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.4326377384511150e-03
7	2.7790000510108658e-05	6.4999997619363248e-01	4.9999999820814106e-01	5.0000000000000000e-01	9.9999999999999967e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.8407884194548077e-08	1.4462074463382056e-06	-8.0103464588686561e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.0523073391891375e-03
8	3.5719999876404181e-05	6.4999997620513772e-01	4.9999999748710910e-01	5.0000000000000000e-01	9.9999999999999922e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.3260610154849647e-08	1.4508502543910382e-06	-9.0924582640348889e-05	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.7459586280710142e-03
9	4.4640000596484172e-05	6.4999997621812100e-01	4.9999999657033561e-01	5.0000000000000000e-01	9.9999999999999811e-01	0.0000000000000000e+00	0.0000000000000000e+00	6.3344061760214503e-08	1.4555205640570662e-06	-1.0277729864928072e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.5030160550145453e-03
10	5.4550000851359217e-05	6.4999997623261474e-01	4.9999999542573359e-01	5.0000000000000000e-01	9.9999999999999600e-01	0.0000000000000000e+00	0.0000000000000000e+00	8.9667008165046852e-08	1.4625325967317772e-06	-1.1549969710094507e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.3124008889671908e-03
11	6.5450000641029322e-05	6.4999997624859118e-01	4.9999999402038081e-01	5.0000000000000000e-01	9.9999999999999256e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.2325567159912067e-07	1.4657238580992106e-06	-1.2893144971025370e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	6.1630575108392611e-03
12	7.7340003603473302e-05	6.4999997626608819e-01	4.9999999232129261e-01	5.0000000000000000e-01	9.9999999999998634e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.6513478379122656e-07	1.4715775732050790e-06	-1.4290060474039944e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.0444259364350467e-03
13	9.0220002462733536e-05	6.4999997628511996e-01	4.9999999029580111e-01	5.0000000000000000e-01	9.9999999999997657e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.1630403898565741e-07	1.4776184845332828e-06	-1.5725865779009021e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.9455365208745046e-03
14	1.0409000449476764e-04	6.4999997630569117e-01	4.9999998791220418e-01	5.0000000000000000e-01	9.9999999999996148e-01	0.0000000000000000e+00	0.0000000000000000e+00	2.7772369085878724e-07	1.4831424942727938e-06	-1.7185269864287614e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.8564746752893535e-03
15	1.1895000242361799e-04	6.4999997632781015e-01	4.9999998514026528e-01	5.0000000000000000e-01	9.9999999999993860e-01	0.0000000000000000e+00	0.0000000000000000e+00	3.5030076602974137e-07	1.4884907412777512e-06	-1.8653693970853370e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	9.7681124052433049e-03
16	1.3480000352524222e-04	6.4999997635146101e-01	4.9999998195213058e-01	5.0000000000000000e-01	9.9999999999990541e-01	0.0000000000000000e+00	0.0000000000000000e+00	4.3486814445211243e-07	1.4921656933202545e-06	-2.0114414402950398e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.0670962576956161e-02
17	1.5164000779964031e-04	6.4999997637668938e-01	4.9999997832112786e-01	5.0000000000000000e-01	9.9999999999985845e-01	0.0000000000000000e+00	0.0000000000000000e+00	5.3219879370970628e-07	1.4981239769608696e-06	-2.1561773759480840e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.1559459531782086e-02
18	1.6947000797085465e-04	6.4999997640348184e-01	4.9999997422375969e-01	5.0000000000000000e-01	9.9999999999979328e-01	0.0000000000000000e+00	0.0000000000000000e+00	6.4297054256971309e-07	1.5026586031012953e-06	-2.2980191528195504e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2425322362313635e-02
19	1.8829000403888525e-04	6.4999997643188923e-01	4.9999996963895726e-01	5.0000000000000000e-01	9.9999999999970524e-01	0.0000000000000000e+00	0.0000000000000000e+00	7.6777653107380979e-07	1.5094266114143549e-06	-2.4361330647574021e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3263123114147480e-02
20	2.0810001055564730e-04	6.4999997646184249e-01	4.9999996454824147e-01	5.0000000000000000e-01	9.9999999999958866e-01	0.0000000000000000e+00	0.0000000000000000e+00	9.0712265823291849e-07	1.5120263702847873e-06	-2.5697707085279214e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4068261197290014e-02
21	2.2890001296922566e-04	6.4999997649323771e-01	4.9999995893693333e-01	5.0000000000000000e-01	9.9999999999943667e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.0614082838450939e-06	1.5093870732261113e-06	-2.6977442995654950e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4835156308870228e-02
22	2.5069001127962022e-04	6.4999997652608010e-01	4.9999995279151349e-01	5.0000000000000000e-01	9.9999999999924249e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.2309727246882845e-06	1.5072255527371555e-06	-2.8202936476495825e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.5563509944314104e-02
23	2.7347000548683109e-04	6.4999997656046593e-01	4.9999994610210480e-01	5.0000000000000000e-01	9.9999999999899736e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.4160555189672471e-06	1.5094754066226514e-06	-2.9365270714938434e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6249586855059294e-02
24	2.9724001014277339e-04	6.4999997659637510e-01	4.9999993886039212e-01	5.0000000000000000e-01	9.9999999999869305e-01	0.0000000000000000e+00	0.0000000000000000e+00	1.6168155030944121e-06	1.5106922250139378e-06	-3.0465766300157590e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6891879186150264e-02
