step	time	CMx	CMy	CMz	quat_0	quat_1	quat_2	quat_3	vel_x	vel_y	vel_z	angvel_x	angvel_y	angvel_z	volume	J0	J1	J2	J3	J4	J5
0	0.0000000e+00	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00
1	2.0000000e-07	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	0.0000000e+00	9.2662479e-05	8.8211651e-09	3.1384930e-07	3.0828181e-07	-2.4708965e-13	1.1472121e-13	6.8577569e-19
2	9.4315674e-06	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	6.6886205e-09	7.1437587e-10	-4.3944708e-05	0.0000000e+00	0.0000000e+00	0.0000000e+00	7.5903971e-04	9.2662479e-05	8.8211652e-09	3.1384930e-07	3.0828181e-07	-8.4515165e-13	1.1472749e-13	6.2925761e-18
3	2.7055469e-05	6.5000000e-01	5.0000000e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.0263560e-08	-1.1180139e-09	-6.0186234e-05	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.8123252e-03	9.2662771e-05	8.8212126e-09	3.1385136e-07	3.0828383e-07	-1.6454131e-12	1.4719984e-13	4.3331106e-15
4	5.3071704e-05	6.5000000e-01	4.9999999e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	9.2033257e-08	-3.0829432e-09	-8.7417640e-05	0.0000000e+00	0.0000000e+00	0.0000000e+00	3.5903671e-03	9.2662997e-05	8.8212303e-09	3.1385418e-07	3.0828665e-07	-2.2508171e-12	2.7970417e-13	1.0742163e-14
5	8.7480273e-05	6.5000000e-01	4.9999999e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.1723015e-07	-7.2792331e-09	-1.2196867e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	5.8501987e-03	9.2662939e-05	8.8212251e-09	3.1385359e-07	3.0828605e-07	-2.9181571e-12	2.7973256e-13	1.0687178e-14
6	1.3028118e-04	6.5000000e-01	4.9999998e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	4.3087929e-07	-7.5080573e-09	-1.6018319e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	8.3467719e-03	9.2662535e-05	8.8211714e-09	3.1384825e-07	3.0828075e-07	-3.4188759e-12	4.7541130e-13	3.3677818e-14
7	1.8147441e-04	6.5000000e-01	4.9999997e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	7.5488809e-07	-6.0969491e-09	-1.9904595e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.0875411e-02	9.2662207e-05	8.8211249e-09	3.1384818e-07	3.0828069e-07	-4.0752002e-12	5.1802914e-13	1.9115582e-14
8	2.4105999e-04	6.5000000e-01	4.9999995e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.2063567e-06	-8.3495194e-09	-2.3620427e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.3282804e-02	9.2663157e-05	8.8211374e-09	3.1386575e-07	3.0829825e-07	-4.9470235e-12	1.4891967e-13	1.7887989e-14
9	3.0903789e-04	6.5000000e-01	4.9999993e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	1.7971364e-06	1.6088242e-08	-2.7007250e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.5471465e-02	9.2661803e-05	8.8210657e-09	3.1385704e-07	3.0828951e-07	-5.9140636e-12	5.0356743e-13	1.8463523e-15
10	3.8540813e-04	6.5000000e-01	4.9999991e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	2.5342312e-06	9.1600755e-09	-2.9974188e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.7391987e-02	9.2659942e-05	8.8207545e-09	3.1384762e-07	3.0828029e-07	-6.8554168e-12	9.4712967e-14	-2.7763243e-14
11	4.7017070e-04	6.5000000e-01	4.9999988e-01	5.0000000e-01	1.0000000e+00	0.0000000e+00	0.0000000e+00	3.4205397e-06	-2.1826376e-08	-3.2500077e-04	0.0000000e+00	0.0000000e+00	0.0000000e+00	1.9028702e-02	9.2660404e-05	8.8208606e-09	3.1383892e-07	3.0827165e-07	-7.6940832e-12	5.5214999e-13	-4.3238662e-14
