step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
0	0.0000000e+00	3.1146248e-04	4.3398194e+02	0.0000000e+00	0.0000000e+00	0.0000000e+00	4.5839454e-14	4.2647218e-07
1	3.3908420e-08	3.1146248e-04	3.1900843e+02	-3.1652189e-06	-2.1768421e-17	1.2058922e-20	-1.0854678e-15	3.3726354e-06
2	4.0513563e-07	3.1146248e-04	1.9909330e+02	-2.7067710e-05	-1.5160670e-17	-4.5363446e-20	7.8554758e-15	6.4527925e-06
3	1.0876640e-06	3.1146248e-04	1.1059180e+02	-5.1810012e-05	-1.7040244e-16	-1.5495121e-19	-9.2372164e-16	7.5041041e-06
4	2.0526302e-06	3.1146248e-04	5.6188428e+01	-6.8248005e-05	-5.8497179e-17	-4.1841182e-21	2.4763106e-15	6.8436708e-06
5	3.2845355e-06	3.1146248e-04	2.6637165e+01	-7.4527491e-05	1.6705817e-16	8.2281348e-20	1.1345008e-15	5.4785281e-06
6	4.7778413e-06	3.1146248e-04	1.2010910e+01	-7.2463241e-05	-3.9743443e-18	2.4460999e-20	1.4313779e-16	4.1089038e-06
7	6.5319102e-06	3.1146248e-04	5.2707859e+00	-6.5066043e-05	-6.1889912e-17	-1.1396831e-19	-1.2847472e-16	3.0040195e-06
8	8.5466288e-06	3.1146248e-04	2.3173468e+00	-5.5079277e-05	2.4408290e-17	-5.7067776e-20	-9.8825465e-18	2.1809413e-06
9	1.0823255e-05	3.1146248e-04	1.0594918e+00	-4.4516440e-05	2.1643617e-17	-2.5424869e-19	-2.5046245e-17	1.5753914e-06
10	1.3361198e-05	3.1146248e-04	5.2388770e-01	-3.4563200e-05	-6.3848004e-18	2.2244300e-20	-2.8179879e-18	1.1207098e-06
11	1.6160658e-05	3.1146248e-04	2.8815472e-01	-2.5811445e-05	2.2311258e-18	5.3481614e-20	-1.4313193e-17	7.7063804e-07
12	1.9222558e-05	3.1146248e-04	1.7711234e-01	-1.8467444e-05	8.1720436e-18	-4.2282945e-20	1.3062022e-18	4.9680497e-07
13	2.2548791e-05	3.1146248e-04	1.1970199e-01	-1.2523104e-05	9.2250025e-18	-1.6251402e-19	1.0482131e-18	2.8253827e-07
14	2.6140830e-05	3.1146248e-04	8.6953348e-02	-7.8604922e-06	2.7109552e-18	-6.7943012e-20	-5.4223143e-20	1.1705008e-07
