step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
0	0.0000000e+00	5.2359903e-04	4.3752204e+01	0.0000000e+00	0.0000000e+00	0.0000000e+00	-1.0256979e-16	7.4280779e-16
1	2.0000000e-07	5.2359903e-04	4.3019146e+00	-4.9513707e-18	1.6153852e-18	-9.8785687e-24	3.1691862e-17	1.1580125e-17
2	1.0402631e-05	5.2359903e-04	1.1687039e+00	1.9669773e-18	-1.2616928e-17	7.2452557e-21	1.2704573e-17	2.2384667e-17
3	2.5895685e-05	5.2359903e-04	3.4252435e-01	6.0075608e-18	3.2084857e-18	8.8663569e-21	1.0340818e-18	-5.2477804e-18
4	4.6792103e-05	5.2359903e-04	1.0568149e-01	-8.9140020e-19	2.5477809e-18	-1.9891392e-21	5.7786270e-19	9.0939885e-20
5	7.3273807e-05	5.2359903e-04	3.4339799e-02	-5.7070914e-19	2.9407493e-19	-3.2258304e-21	2.0043592e-19	-1.7914093e-20
6	1.0554697e-04	5.2359903e-04	1.1986713e-02	9.4511847e-20	8.3323906e-19	1.4786015e-21	7.7043311e-20	-1.0322403e-19
7	1.4368613e-04	5.2359903e-04	4.6364446e-03	-1.1653432e-18	-1.7024249e-19	-9.7324469e-21	2.1946110e-20	-3.1645944e-20
8	1.8778235e-04	5.2359903e-04	2.0709937e-03	-1.0173150e-19	1.1839224e-18	2.5230169e-22	3.4205009e-21	4.3467814e-20
9	2.3794393e-04	5.2359903e-04	1.0991232e-03	3.4967364e-19	-1.2455167e-19	1.2995384e-21	3.5878972e-20	1.4611282e-20
10	2.9427137e-04	5.2359903e-04	6.8709704e-04	1.2470313e-20	-1.6564817e-19	8.5767768e-22	-7.9943164e-21	-5.2443473e-21
11	3.5685750e-04	5.2359903e-04	4.8746809e-04	-2.5480838e-19	6.0268567e-19	1.8675538e-21	-1.1265175e-21	1.8301573e-21
12	4.2565180e-04	5.2359903e-04	3.7610740e-04	-1.7763885e-19	-7.2196550e-20	-8.0822380e-22	6.8441572e-21	3.4883429e-21
13	5.0059022e-04	5.2359903e-04	3.0565105e-04	2.6111927e-19	2.2290054e-19	-2.5495146e-21	9.4126883e-21	-1.1300432e-20
14	5.8173712e-04	5.2359903e-04	2.5696271e-04	-3.2800205e-19	-1.7621259e-19	4.5436419e-21	-4.8917265e-21	3.1791094e-21
15	6.6915880e-04	5.2359903e-04	2.2119920e-04	2.1955577e-19	-6.6693456e-20	2.4579497e-21	2.3894597e-21	2.1322910e-21
16	7.6292198e-04	5.2359903e-04	1.9380825e-04	-9.6480844e-20	2.5362194e-19	-2.5118751e-21	5.9795657e-22	2.4060258e-22
17	8.6309256e-04	5.2359903e-04	1.7293972e-04	-1.5279333e-20	-2.6442854e-19	-4.7343978e-22	2.0986274e-21	4.4971061e-22
18	9.6920899e-04	5.2359903e-04	1.5606960e-04	-6.5784689e-20	7.8747251e-20	4.8194384e-22	-1.3773511e-21	-3.5798508e-21
19	1.0812203e-03	5.2359903e-04	1.4219244e-04	9.9977076e-20	1.1307848e-19	3.0919629e-22	9.5270732e-21	-1.5288124e-21
20	1.1991068e-03	5.2359903e-04	1.3062037e-04	-1.3904778e-19	-4.9786589e-20	4.3228597e-22	8.6222497e-22	1.5126408e-21
21	1.3228507e-03	5.2359903e-04	1.2085073e-04	1.3732491e-20	-2.3476501e-20	-4.7464808e-24	-3.2000143e-21	1.2700661e-21
22	1.4524355e-03	5.2359903e-04	1.1251307e-04	-6.8365841e-20	1.1334353e-20	1.6720090e-22	-2.5085777e-22	-4.8250677e-21
23	1.5878464e-03	5.2359903e-04	1.0532966e-04	9.8096431e-20	1.9084123e-20	3.7548984e-22	3.0465808e-21	-2.0325001e-21
24	1.7290701e-03	5.2359903e-04	9.9088009e-05	1.0741130e-19	-3.5725933e-20	1.7666132e-22	3.1615573e-21	3.1532743e-21
25	1.8760951e-03	5.2359903e-04	9.3623451e-05	-5.5687269e-20	-1.5371428e-19	1.2776967e-22	1.5073160e-21	-7.4507912e-22
26	2.0289118e-03	5.2359903e-04	8.8806549e-05	4.7987987e-20	1.1262409e-19	-2.1262245e-22	-5.0250440e-22	3.5794564e-22
27	2.1875123e-03	5.2359903e-04	8.4534072e-05	6.1001036e-20	-2.6808649e-20	3.4707354e-22	-1.5248681e-21	2.4671625e-21
28	2.3518906e-03	5.2359903e-04	8.0722996e-05	-2.3646894e-19	-5.2714841e-20	-7.0613492e-22	2.6241458e-21	2.0595186e-21
29	2.5220427e-03	5.2359903e-04	7.7305929e-05	2.2855505e-19	1.2349319e-19	7.8875935e-23	-1.5807622e-21	3.2860434e-22
30	2.6979667e-03	5.2359903e-04	7.4227446e-05	-8.0400703e-21	2.9907295e-20	8.7169495e-23	-3.4488999e-21	3.8101982e-21
31	2.8796626e-03	5.2359903e-04	7.1441598e-05	6.2439918e-20	-3.2084551e-20	-5.3641186e-22	4.6862282e-21	-3.7218458e-21
32	3.0671326e-03	5.2359903e-04	6.8909905e-05	-5.4731170e-20	-4.6205161e-20	1.4997149e-22	-1.3168061e-21	1.0527349e-21
33	3.2603813e-03	5.2359903e-04	6.6599858e-05	4.6580659e-20	-5.0995124e-20	-5.9969744e-23	3.3362900e-21	2.2326736e-21
34	3.4594151e-03	5.2359903e-04	6.4484176e-05	-6.2711287e-20	4.0604249e-20	-5.0485975e-22	2.2347443e-21	5.2135817e-21
35	3.6642424e-03	5.2359903e-04	6.2539465e-05	-5.6611814e-20	-4.7839681e-20	-8.0458552e-23	1.5409412e-21	1.1572589e-21
36	3.8748737e-03	5.2359903e-04	6.0745594e-05	-9.3874448e-21	1.3802541e-19	-1.1675735e-22	-2.0294433e-21	-1.3238072e-21
37	4.0913220e-03	5.2359903e-04	5.9085269e-05	3.0143953e-20	1.2388272e-20	1.7436286e-22	-2.3711187e-21	2.7269935e-21
38	4.3136025e-03	5.2359903e-04	5.7543660e-05	-2.3924574e-20	-1.9412289e-20	3.6604488e-22	-2.2576213e-21	2.1584220e-21
39	4.5417329e-03	5.2359903e-04	5.6107746e-05	5.7729235e-20	6.3029986e-21	3.3919755e-22	2.6596445e-21	-3.3319512e-22
40	4.7757336e-03	5.2359903e-04	5.4766188e-05	8.2293970e-21	-1.8448301e-20	1.5618961e-22	-2.4237751e-21	4.6542793e-23
41	5.0156269e-03	5.2359903e-04	5.3509110e-05	1.1177843e-19	4.4515421e-20	-5.4118218e-22	-1.5126408e-22	3.6415792e-22
42	5.2614379e-03	5.2359903e-04	5.2327723e-05	-4.3269021e-20	4.9712437e-20	1.0015487e-22	2.9953049e-21	-2.1287412e-21
43	5.5131940e-03	5.2359903e-04	5.1214255e-05	4.6779452e-21	-5.9871387e-20	-5.8413051e-23	-3.0938139e-21	-1.0069809e-21
44	5.7709250e-03	5.2359903e-04	5.0161916e-05	-1.7497566e-19	1.2410360e-20	1.6328550e-22	2.4607530e-21	-2.7473067e-21
45	6.0346630e-03	5.2359903e-04	4.9164710e-05	4.2216680e-20	1.4855829e-20	3.2409912e-22	2.8425617e-21	7.7900014e-24
46	6.3044427e-03	5.2359903e-04	4.8217268e-05	-2.6884380e-21	-3.9775945e-20	-1.5623285e-22	-3.6637659e-21	1.6664687e-21
47	6.5803009e-03	5.2359903e-04	4.7314767e-05	6.8761850e-20	6.7908302e-20	-1.0968370e-22	-1.0804436e-21	-1.3370206e-21
48	6.8622768e-03	5.2359903e-04	4.6452983e-05	3.3239443e-20	1.5385943e-20	-4.2640713e-22	-1.1862003e-21	2.3236884e-21
49	7.1504118e-03	5.2359903e-04	4.5628187e-05	-1.7889788e-20	2.0324212e-20	-1.5934188e-22	-3.7224374e-22	2.0934889e-21
50	7.4447496e-03	5.2359903e-04	4.4836943e-05	7.0091897e-20	2.3474103e-20	-1.1122312e-22	-7.9962199e-23	-4.4846182e-23
51	7.7453363e-03	5.2359903e-04	4.4076256e-05	-7.5866331e-20	-3.2153970e-21	9.5457980e-23	-1.7127156e-21	-4.7124578e-22
52	8.0522198e-03	5.2359903e-04	4.3343352e-05	3.8851400e-20	-3.2114527e-20	-2.1271253e-22	-1.7668512e-21	7.1041855e-22
53	8.3654505e-03	5.2359903e-04	4.2638940e-05	-4.1656384e-20	-2.6572183e-20	-2.8027562e-23	-5.8640994e-22	2.2589984e-21
54	8.6850559e-03	5.2359903e-04	4.1956993e-05	3.2153883e-22	3.3726809e-20	6.3060287e-23	7.9408535e-22	2.3730776e-21
55	9.0110834e-03	5.2359903e-04	4.1294926e-05	-5.3483981e-20	-5.9082526e-20	-4.3507241e-22	-5.5131517e-22	-1.4051585e-22
56	9.3435917e-03	5.2359903e-04	4.0651671e-05	2.1924811e-20	5.6111676e-21	7.5915706e-23	3.7692760e-22	-8.3121288e-22
57	9.6826419e-03	5.2359903e-04	4.0026013e-05	1.6947099e-20	2.0533261e-20	1.1909437e-22	-4.0044552e-22	4.2978128e-22
58	1.0028297e-02	5.2359903e-04	3.9416642e-05	3.8359150e-20	-4.3253243e-21	-1.7968839e-23	1.9824075e-21	3.3886506e-22
59	1.0380623e-02	5.2359903e-04	3.8893852e-05	-3.2430072e-20	3.4583662e-21	6.8633902e-23	3.4983023e-21	6.5248658e-22
60	1.0738990e-02	5.2359903e-04	3.8368771e-05	7.4791902e-21	9.3685121e-21	6.6410227e-23	3.3105534e-21	1.6501984e-21
61	1.1103270e-02	5.2359903e-04	3.7836562e-05	-3.3779024e-21	2.2073117e-20	-1.7382960e-23	-1.4509617e-21	-5.0999858e-22
62	1.1473490e-02	5.2359903e-04	3.7308361e-05	4.3251666e-20	-1.5344133e-20	-1.0413930e-22	-7.7456280e-22	2.0873753e-21
63	1.1849682e-02	5.2359903e-04	3.6787864e-05	-4.1201416e-20	2.5135475e-20	-1.5187022e-22	-6.4060436e-22	7.3640166e-22
64	1.2231875e-02	5.2359903e-04	3.6276174e-05	-2.0143843e-20	3.4975902e-20	1.2956739e-22	-1.4361858e-22	2.0570729e-21
65	1.2620101e-02	5.2359903e-04	3.5773386e-05	4.0623181e-20	1.3592862e-20	7.1780620e-23	-2.7831999e-21	1.0958757e-21
66	1.3014392e-02	5.2359903e-04	3.5279335e-05	-1.9611082e-20	-4.5824930e-21	1.7433093e-22	2.4144074e-21	-1.8626978e-22
67	1.3414782e-02	5.2359903e-04	3.4793864e-05	3.5506629e-21	1.0657511e-20	-7.1008684e-23	2.2880418e-21	4.2342109e-22
68	1.3821303e-02	5.2359903e-04	3.4316757e-05	-1.1877090e-20	-8.2893504e-21	1.1831579e-22	1.7004883e-22	-3.2298924e-22
69	1.4233991e-02	5.2359903e-04	3.3847795e-05	1.9903749e-20	-1.7899254e-20	-3.0389589e-23	-3.5562836e-22	4.7198534e-22
70	1.4652879e-02	5.2359903e-04	3.3415187e-05	-3.1894435e-20	1.3093513e-20	2.2477656e-23	-2.2587553e-21	-1.6325476e-21
71	1.5077625e-02	5.2359903e-04	3.2981771e-05	6.4883809e-23	1.6011510e-20	1.1048540e-23	1.0939036e-21	6.0766942e-22
72	1.5508182e-02	5.2359903e-04	3.2547219e-05	6.7842038e-23	-3.5638665e-20	1.1912444e-22	-7.7382324e-22	-6.1003600e-22
73	1.5944586e-02	5.2359903e-04	3.2116770e-05	-1.9886395e-20	9.4071663e-21	-8.5983260e-23	-4.8722022e-22	-1.3407184e-21
74	1.6386869e-02	5.2359903e-04	3.1692366e-05	2.4464154e-20	1.5400931e-20	1.2385815e-22	7.0632633e-22	-9.6714347e-22
75	1.6835063e-02	5.2359903e-04	3.1274696e-05	1.4971791e-20	-3.8900309e-20	-1.1839722e-24	1.1270850e-21	1.4778323e-21
76	1.7289194e-02	5.2359903e-04	3.0864019e-05	-1.0509994e-20	-1.7755681e-20	1.9720803e-22	1.4007211e-21	5.3509421e-22
77	1.7749287e-02	5.2359903e-04	3.0460434e-05	-2.3121513e-20	1.7760414e-20	1.6449100e-23	3.7794819e-21	1.2498515e-21
78	1.8215361e-02	5.2359903e-04	3.0063999e-05	1.8522454e-20	-6.9427648e-21	-7.5730430e-23	-1.3762665e-21	1.0787919e-21
79	1.8687437e-02	5.2359903e-04	2.9684661e-05	1.5778007e-20	-7.1936226e-21	-1.5988058e-23	2.6795140e-21	-6.9131332e-22
80	1.9165362e-02	5.2359903e-04	2.9312399e-05	-2.0131730e-21	-3.1791094e-22	2.2780847e-23	-3.1782713e-21	-5.1934165e-22
81	1.9649064e-02	5.2359903e-04	2.8940195e-05	-2.7960386e-20	-3.5292848e-20	7.4785778e-24	1.6234264e-21	-8.9446966e-22
82	2.0138596e-02	5.2359903e-04	2.8571964e-05	-2.1409685e-20	-1.1030642e-20	6.2102202e-23	-1.1866933e-21	3.8283666e-21
83	2.0634015e-02	5.2359903e-04	2.8209153e-05	1.7317075e-20	8.5181201e-21	-6.0732850e-23	-7.0055779e-22	4.5795841e-22
84	2.1135375e-02	5.2359903e-04	2.7852290e-05	-4.9821299e-20	5.8714917e-21	-1.3684637e-22	1.9364070e-21	9.5659246e-22
85	2.1642734e-02	5.2359903e-04	2.7501592e-05	2.6063964e-20	2.2955852e-21	1.8301423e-22	-2.4964243e-21	4.7452449e-22
86	2.2156148e-02	5.2359903e-04	2.7157190e-05	-5.5062491e-21	2.1943744e-20	-1.3766447e-22	-2.0083906e-21	-9.9756392e-22
87	2.2675675e-02	5.2359903e-04	2.6819152e-05	-2.3679238e-20	2.1210892e-20	1.1200876e-22	7.5368264e-22	-3.9095453e-22
88	2.3201374e-02	5.2359903e-04	2.6487448e-05	-3.2727472e-20	1.7055173e-20	8.9231540e-23	2.8186986e-22	2.7528780e-22
89	2.3733302e-02	5.2359903e-04	2.6162041e-05	2.1451495e-20	-1.2832400e-20	-5.5278550e-24	1.4682674e-22	-9.2742925e-22
90	2.4271521e-02	5.2359903e-04	2.5842879e-05	-7.2614646e-21	-8.4297676e-21	6.0328248e-23	2.0648434e-22	-2.9204617e-21
91	2.4816089e-02	5.2359903e-04	2.5529901e-05	4.7353742e-20	-3.2493181e-21	6.2703004e-23	1.6592210e-21	-2.7824603e-22
92	2.5367068e-02	5.2359903e-04	2.5223040e-05	-6.1107532e-20	1.3431935e-20	2.4984618e-23	1.0180250e-21	5.9083217e-22
93	2.5924521e-02	5.2359903e-04	2.4949714e-05	-2.2943231e-20	-3.3605475e-22	-1.3297494e-24	1.3516639e-22	6.6059705e-22
94	2.6487867e-02	5.2359903e-04	2.4676009e-05	2.2166203e-20	1.7586076e-20	-8.0908115e-24	-1.3777949e-21	6.7282440e-22
95	2.7056973e-02	5.2359903e-04	2.4399548e-05	1.4360424e-20	2.0817250e-20	3.3515378e-24	-1.4388083e-21	-3.3299791e-22
96	2.7631871e-02	5.2359903e-04	2.4125503e-05	-4.9222554e-20	2.3330561e-20	4.5754538e-23	8.5372006e-22	1.3561012e-22
97	2.8212600e-02	5.2359903e-04	2.3855659e-05	1.6356242e-20	-1.5216338e-20	8.6733213e-23	-1.4433689e-22	1.1123925e-21
98	2.8799195e-02	5.2359903e-04	2.3590626e-05	-1.0340389e-20	1.2057739e-20	3.5390991e-23	-1.8992073e-21	-8.0239480e-22
99	2.9391701e-02	5.2359903e-04	2.3330496e-05	-2.8103170e-21	2.1442028e-20	-7.1197233e-24	-8.3629117e-22	-7.6706862e-22
100	2.9990163e-02	5.2359903e-04	2.3097512e-05	-8.0625529e-21	3.5948391e-21	-2.0697765e-23	-1.3011768e-21	2.7691483e-22
101	3.0594030e-02	5.2359903e-04	2.3055934e-05	-2.4091812e-21	-2.9375602e-20	5.0502649e-23	-5.3630216e-22	-1.1317689e-22
102	3.1197923e-02	5.2359903e-04	2.2910799e-05	1.7236611e-22	-5.4786390e-22	-5.3624747e-23	4.6446651e-22	-1.8223920e-21
103	3.1801907e-02	5.2359903e-04	2.2729585e-05	-1.2962562e-20	3.0084192e-20	4.1015682e-23	-6.3953266e-22	-5.6926175e-22
104	3.2406048e-02	5.2359903e-04	2.2536680e-05	-1.2173701e-20	4.0354180e-21	-4.7735651e-23	-3.8205520e-22	5.3963016e-23
105	3.3010412e-02	5.2359903e-04	2.2340952e-05	-2.7187697e-20	9.1957516e-21	-1.1089587e-22	-5.7754479e-22	-1.5859802e-21
106	3.3615071e-02	5.2359903e-04	2.2145783e-05	2.1767828e-20	-2.9501426e-20	-6.4598419e-23	2.2808927e-21	2.6991369e-22
107	3.4220097e-02	5.2359903e-04	2.1952581e-05	-2.5275892e-20	7.7229483e-21	-6.5457557e-23	-1.4519971e-22	-2.4247119e-21
108	3.4825567e-02	5.2359903e-04	2.1761968e-05	-3.0568360e-21	8.0897686e-22	9.2638209e-23	1.0033325e-22	1.2503445e-22
109	3.5431556e-02	5.2359903e-04	2.1574246e-05	2.6526631e-20	-1.6480882e-20	-6.3655545e-23	3.6018896e-22	-5.8617296e-22
110	3.6038146e-02	5.2359903e-04	2.1389575e-05	-2.0039434e-20	2.4243668e-20	9.1698168e-23	-4.5581369e-22	2.0833323e-21
111	3.6645416e-02	5.2359903e-04	2.1208040e-05	1.3521470e-20	-2.2296759e-20	1.3477958e-22	1.1785828e-21	3.2937408e-22
112	3.7253448e-02	5.2359903e-04	2.1029691e-05	-1.7408582e-20	2.2334929e-21	2.0206336e-23	2.9241698e-21	-2.3297528e-21
113	3.7862323e-02	5.2359903e-04	2.0868539e-05	9.4978853e-22	1.3568408e-20	-2.9284368e-23	-2.6590775e-21	-6.8187164e-23
114	3.8471700e-02	5.2359903e-04	2.0723699e-05	2.3994388e-20	2.7204657e-20	-1.1063451e-22	-1.3807531e-21	-8.0246876e-22
115	3.9081041e-02	5.2359903e-04	2.0569399e-05	-4.1513805e-21	-4.6645345e-21	8.9640925e-23	7.1672944e-22	6.7593054e-22
116	3.9690409e-02	5.2359903e-04	2.0413493e-05	3.4135984e-20	-2.4131650e-20	1.3155120e-22	4.6503350e-22	3.3679430e-22
117	4.0299870e-02	5.2359903e-04	2.0258761e-05	-2.3232348e-20	-4.7674612e-20	1.5199706e-23	1.0998940e-21	-4.4048021e-22
118	4.0909488e-02	5.2359903e-04	2.0106178e-05	3.6931225e-20	1.7356086e-20	-4.5967679e-23	4.7316528e-22	-1.1764260e-22
119	4.1519332e-02	5.2359903e-04	1.9956103e-05	3.8463280e-20	1.7320624e-20	2.6617123e-23	-1.0215009e-21	3.4680298e-22
120	4.2129468e-02	5.2359903e-04	1.9808649e-05	-2.3616523e-20	-1.8847465e-20	-2.9181977e-23	1.6330407e-21	-1.2453402e-21
121	4.2739963e-02	5.2359903e-04	1.9663845e-05	-7.6089579e-21	-1.0108069e-20	-1.6082180e-23	-1.0264066e-21	-1.3634968e-22
122	4.3350885e-02	5.2359903e-04	1.9521686e-05	-1.8236098e-20	5.9893081e-20	2.8843771e-23	1.5557323e-21	1.8094497e-23
123	4.3962301e-02	5.2359903e-04	1.9382127e-05	-2.9486832e-20	-6.1294492e-22	4.2151800e-23	1.6092762e-22	-4.2854869e-22
124	4.4574276e-02	5.2359903e-04	1.9245126e-05	2.9992097e-20	-1.1384052e-20	8.3414517e-23	2.0445303e-21	-5.1919374e-22
125	4.5186876e-02	5.2359903e-04	1.9110656e-05	-6.9616975e-22	3.2814642e-20	-1.0147148e-22	3.1125493e-22	-1.6540195e-21
126	4.5800167e-02	5.2359903e-04	1.8978678e-05	-1.7438559e-20	1.8801514e-21	-1.2279668e-22	9.2067463e-22	1.8390320e-22
127	4.6414209e-02	5.2359903e-04	1.8849140e-05	5.1251504e-20	-2.6257235e-20	-1.9616370e-23	9.6529458e-22	5.3593238e-23
128	4.7029065e-02	5.2359903e-04	1.8721990e-05	-1.5669539e-20	6.0588462e-21	-6.4481511e-23	7.9275591e-22	-1.1318428e-21
129	4.7644794e-02	5.2359903e-04	1.8597199e-05	-1.7451970e-20	5.1575562e-20	4.4859515e-23	-1.9348449e-22	-4.2534394e-22
130	4.8261451e-02	5.2359903e-04	1.8474725e-05	1.3807432e-20	1.6057264e-20	-5.1273952e-24	-1.4102861e-21	-2.6331191e-21
131	4.8879092e-02	5.2359903e-04	1.8354528e-05	4.6030034e-22	-1.7207028e-20	4.3505101e-23	-1.6666905e-21	6.3094081e-22
132	4.9497768e-02	5.2359903e-04	1.8236573e-05	-1.8877441e-20	8.7457064e-21	-3.2465251e-23	-1.0251247e-21	3.4532386e-22
