# Something went kaputet when restarted, but steady state still fine
step	time	mass	force_x	force_y	force_z	torque_x	torque_y	torque_z
2149	1.0006902e+00	5.2359877e-04	1.1483282e-01	0.0000000e+00	0.0000000e+00	0.0000000e+00	4.6852027e-19	9.6612111e-19
2150	1.0011670e+00	5.2359877e-04	3.8793855e-02	6.8662453e-20	-8.8857292e-21	1.7670484e-22	2.4233807e-21	-1.0824434e-19
2151	1.0016439e+00	5.2359877e-04	1.3942724e-02	-3.1302001e-20	-2.7737612e-19	-3.8496412e-22	-1.9891917e-20	4.6448130e-20
2152	1.0021207e+00	5.2359877e-04	5.4767684e-03	-1.0299368e-19	-8.1890073e-20	-1.6487193e-22	-3.0090310e-20	7.3679609e-21
2153	1.0025975e+00	5.2359877e-04	2.5124416e-03	1.7953212e-19	-8.9665086e-20	2.5677422e-22	-1.9185097e-20	-1.7039396e-20
2154	1.0030744e+00	5.2359877e-04	1.4306379e-03	4.1197472e-20	-3.1238892e-21	-1.0334078e-22	-1.3189754e-20	3.9379936e-21
2155	1.0035512e+00	5.2359877e-04	1.0063100e-03	-4.7659820e-20	8.1385202e-20	-1.1280711e-22	-1.5676244e-20	9.5925486e-21
2156	1.0040280e+00	5.2359877e-04	8.1877996e-04	8.0678382e-20	-6.5229331e-20	0.0000000e+00	-3.7865323e-21	4.4113102e-21
2157	1.0045049e+00	5.2359877e-04	7.2101970e-04	2.9686414e-20	3.9177988e-20	3.8185798e-23	7.9517179e-22	1.0823172e-20
2158	1.0049817e+00	5.2359877e-04	6.6027853e-04	-9.8954712e-20	-8.8756318e-20	-1.3410635e-22	-7.8759873e-21	-4.1399420e-21
2159	1.0054586e+00	5.2359877e-04	6.1681683e-04	-1.5146129e-19	-7.5427724e-20	-1.7216889e-22	2.0453586e-20	-6.1468042e-21
2160	1.0059354e+00	5.2359877e-04	5.8273251e-04	9.9611044e-20	-5.4728014e-20	-3.9443045e-24	-3.1649100e-21	1.0116352e-20
2161	1.0064122e+00	5.2359877e-04	5.5452927e-04	-2.4031859e-20	-1.1511058e-20	1.1793471e-22	9.3653567e-21	8.3051276e-21
2162	1.0068891e+00	5.2359877e-04	5.3044862e-04	-2.6051343e-20	-1.3101402e-19	6.5475455e-23	6.2367343e-21	1.0728508e-21
2163	1.0073659e+00	5.2359877e-04	5.0947861e-04	-8.0476434e-20	1.2268365e-20	1.6566079e-22	4.7457872e-21	6.3061541e-21
2164	1.0078427e+00	5.2359877e-04	4.9096577e-04	7.3963598e-20	6.9470247e-20	-5.5220263e-23	-4.7836525e-21	-3.6350711e-21
